Department	CourseID	Credits	Course Name	
MEGN	417	3.0	VEHICLE DYNAMICS & POWERTRAIN SYSTEMS	
MEGN	430	3.0	MUSCULOSKELETAL BIOMECHANICS	
MEGN	435	3.0	MODELING AND SIMULATION OF HUMAN MOVEMENT	
MEGN	436	3.0	COMPUTATIONAL BIOMECHANICS	
MEGN	441	3.0	INTRODUCTION TO ROBOTICS	
MEGN	451	3.0	FLUID MECHANICS II - AERODYNAMICS	
MEGN	453	3.0	AEROSPACE STRUCTURES	
MEGN	461	3.0	THERMODYNAMICS II	
MEGN	466	3.0	INTRODUCTION TO INTERNAL COMBUSTION ENGINES	
MEGN	467	3.0	PRINCIPLES OF BUILDING SCIENCE	
MEGN	469	3.0	FUEL CELL SCIENCE AND TECHNOLOGY	
MEGN	471	3.0	HEAT TRANSFER	
MEGN	475	3.0	INTRODUCTION TO NUCLEAR ENGINEERING	
MEGN	481	3.0	MACHINE DESIGN	
MEGN	485	3.0	MANUFACTURING OPTIMIZATION WITH NETWORK MODELS	
MEGN	486	3.0	LINEAR OPTIMIZATION	
MEGN	487	3.0	NONLINEAR OPTIMIZATION	
MEGN	488	3.0	INTEGER OPTIMIZATION	
MNGN	210	3.0	INTRODUCTORY MINING	
MNGN	310	3.0	EARTH MATERIALS	
MNGN	311	3.0	MINING GEOLOGY	
MNGN	312	3.0	SURFACE MINE DESIGN	
MNGN	314	3.0	UNDERGROUND MINE DESIGN	
MNGN	316	3.0	COAL MINING METHODS	
MNGN	317	1.0	DYNAMICS FOR MINING ENGINEERS	
MNGN	321	3.0	INTRODUCTION TO ROCK MECHANICS	
MNGN	333	3.0	EXPLOSIVES ENGINEERING I	
MNGN	335	3.0	COMMUNITIES AND NATURAL RESOURCE DEVELOPMENT	
MNGN	350	3.0	INTRODUCTION TO GEOTHERMAL ENERGY	
MNGN	404	3.0	TUNNELING	
MNGN	406	3.0	DESIGN AND SUPPORT OF UNDERGROUND EXCAVATIONS	
MNGN	408	2.0	UNDERGROUND DESIGN AND CONSTRUCTION	
MNGN	410	2.0	EXCAVATION PROJECT MANAGEMENT	
MNGN	414	3.0	MINE PLANT DESIGN	
MNGN	418	3.0	ADVANCED ROCK MECHANICS	
MNGN	422	2.0	FLOTATION	
MNGN	424	3.0	MINE VENTILATION	
MNGN	431	3.0	MINING AND METALLURGICAL ENVIRONMENT	
MNGN	433	3.0	MINE SYSTEMS ANALYSIS I	
MNGN	436	3.0	UNDERGROUND COAL MINE DESIGN	
MNGN	445	3.0	ROCK SLOPE ENGINEERING	
MNGN	461	3.0	TRANSPORT PHENOMENA AND REACTOR DESIGN FOR METALLURGICAL AND MATERIALS ENGINEERS	
MTGN	202	3.0	ENGINEERED MATERIALS	
MTGN	211	3.0	STRUCTURE OF MATERIALS	
MTGN	314	2.0	PROPERTIES AND PROCESSING OF CERAMICS	
MTGN	315	3.0	ELECTRICAL PROPERTIES AND APPLICATIONS OF MATERIALS	
MTGN	334	3.0	CHEMICAL PROCESSING OF MATERIALS	
MTGN	348	3.0	MICROSTRUCTURAL DEVELOPMENT	
MTGN	350	3.0	STATISTICAL PROCESS CONTROL AND DESIGN OF EXPERIMENTS	
MTGN	352	3.0	METALLURGICAL AND MATERIALS KINETICS	
MTGN	414	3.0	ADVANCED PROCESSING AND SINTERING OF CERAMICS	
MTGN	415	3.0	ELECTRICAL PROPERTIES AND APPLICATIONS OF MATERIALS	
MTGN	419	3.0	NON-CRYSTALLINE MATERIALS	
MTGN	429	3.0	METALLURGICAL ENVIRONMENT	
MTGN	430	3.0	PHYSICAL CHEMISTRY OF IRON AND STEELMAKING	
MTGN	431	3.0	HYDRO- AND ELECTRO-METALLURGY	
MTGN	442	3.0	ENGINEERING ALLOYS	
MTGN	445	3.0	MECHANICAL PROPERTIES OF MATERIALS	
MTGN	451	3.0	CORROSION ENGINEERING	
MTGN	456	2.0	ELECTRON MICROSCOPY	
MTGN	461	3.0	TRANSPORT PHENOMENA AND REACTOR DESIGN FOR METALLURGICAL AND MATERIALS ENGINEERS	
